"No.","Time","Source","Destination","Protocol","Length","Info"
"180","1.054031","Cisco_44:42:00","Broadcast","802.11","313","Beacon frame, SN=2854, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"181","1.056909","Cisco_55:d9:94","Broadcast","802.11","275","Beacon frame, SN=2921, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"182","1.069456","","","802.11","939","Unknown protocol version: 3"
"183","1.077660","Cisco_79:14:50","Broadcast","802.11","313","Beacon frame, SN=2882, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"184","1.086819","Cisco_79:14:54","Broadcast","802.11","275","Beacon frame, SN=2883, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"185","1.090272","Cisco_ea:55:40","Broadcast","802.11","313","Beacon frame, SN=1654, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"186","1.093670","Cisco_55:d9:91","Broadcast","802.11","263","Beacon frame, SN=2922, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"187","1.100021","e3:8a:5e:f8:fa:4e","e3:8a:5e:f8:fa:4e (e3:8a:5e:f8:fa:4e) (SA)","802.11","315","PV1 Reserved"
"188","1.103207","Cisco_44:42:01","Broadcast","802.11","263","Beacon frame, SN=2856, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"189","1.123680","Cisco_79:14:51","Broadcast","802.11","263","Beacon frame, SN=2884, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"190","1.134996","8a:94:f5:2b:ca:24","2b:db:6e:bf:77:9b","802.11","142","CF-Poll (No data), SN=723, FN=4, Flags=....R..TC"
